代碼,公司名稱,英文名稱,市場,產業,上市日期,網站,主要產品
"1233","天仁","Ten Ren (Tian Ren)","上市","食品工業","1999/01/20","https://www.tenren.com.tw","Tea Products; Beverage Products; Food Manufacturing; Tea Processing; Food Solutions; Consumer Products"
"1234","黑松","Heysong Corporation","上市","食品工業","1999/03/12","https://www.heysong.com.tw","Beverages; Soft Drinks; Food Products; Beverage Manufacturing; Food Processing; Beverage Distribution"
"1235","興泰","Xing Tai","上市","食品工業","2000/09/11","https://www.goldenbrand.com.tw","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1236","宏亞","Hong Ya Foods","上市","食品工業","2001/09/17","https://www.hunya.com.tw","Food Products; Confectionery; Snack Foods; Food Manufacturing; Baked Goods; Food Solutions"
"1240","茂生農經","Mao Sheng Agricultural","上櫃","農業科技業","2018/08/08","https://www.morn-sun.com.tw","農業資材; 肥料; 農藥; 種子; 農業服務"
"1256","鮮活果汁-KY","Xian Huo Guo Zhi-KY","上市","食品工業","2016/03/17","https://www.myfreshjuice.com","Beverage Products; Juice Products; Food Manufacturing; Beverage Manufacturing; Food Solutions; Consumer Products"
"1259","安心","安心 Co., Ltd.","上櫃","觀光餐旅","2011/12/15","https://www.mos.com.tw","餐飲服務; 觀光旅遊; 飯店服務; 餐飲管理; 旅遊服務; 休閒娛樂"
"1264","德麥","De Mai Food","上櫃","食品工業","2015/04/09","https://www.tehmag.com.tw","Bakery Products; Food Products; Baked Goods; Bread; Pastries; Food Manufacturing"
"1268","漢來美食","漢來美食 Co., Ltd.","上櫃","觀光餐旅","2017/09/27","https://www.hilai-foods.com","餐飲服務; 觀光旅遊; 飯店服務; 餐飲管理; 旅遊服務; 休閒娛樂"
"1294","漢田生技","Han Tien","上櫃","食品工業","2024/09/26","https://www.htbios.com","生技產品; 保健食品; 營養品"
"1295","生合","Sheng Ho Biotech","上櫃","食品工業","2025/05/27","https://www.synbiotech.com","Food Products; Health Foods; Nutritional Supplements; Food Manufacturing; Health Products; Food Solutions"
"1301","台塑","Formosa Plastics Corporation","上市","塑膠工業","1964/07/27","https://www.fpc.com.tw","聚氯乙烯 (PVC); 苛性鈉; 塑膠原料; 化學品; 塑膠加工品"
"1303","南亞","Nan Ya Plastics","上市","塑膠工業","1967/11/05","https://www.npc.com.tw","PET Chips; Polyester Fibers; Electronic Materials; Plastic Products; Chemical Products; Copper Clad Laminates"
"1304","台聚","USI (Tai Ju)","上市","塑膠工業","1972/05/20","https://www.usife.com.tw","Chemical Products; Plastic Products; Industrial Chemicals; Plastic Manufacturing; Chemical Solutions; Material Processing"
"1305","華夏","Grand Pacific Petrochemical","上市","塑膠工業","1973/03/05","https://www.cgpc.com.tw","Styrene Monomer; ABS Resin; Polystyrene; SAN Resin; Propylene; Polypropylene"
"1307","三芳","San Fang","上市","塑膠工業","1985/11/23","https://www.sanfang.com","塑膠製品; 塑膠原料; 化工材料"
"1308","亞聚","亞聚 Co., Ltd.","上市","塑膠工業","1986/06/20","https://www.apc.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1309","台達化","Formosa Chemicals & Fibre (Taiwan)","上市","塑膠工業","1986/06/27","https://www.ttc.com.tw","Polyester Fibers; Nylon Fibers; Chemical Products; Plastic Raw Materials; Textile Materials; Industrial Chemicals"
"1310","台苯","China Petrochemical Development Corporation","上市","塑膠工業","1987/08/06","https://www.smct.com.tw","Petrochemical Products; Chemical Materials; Plastics; Chemical Processing; Petrochemicals; Industrial Chemicals"
"1312","國喬","Grand Pacific Petrochemical","上市","塑膠工業","1988/12/21","https://www.gppc.com.tw","Styrene Monomer; ABS Resin; Polystyrene; SAN Resin; Propylene; Polypropylene"
"1313","聯成","聯成 Co., Ltd.","上市","塑膠工業","1989/03/27","https://www.upc.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1314","中石化","中石化 Co., Ltd.","上市","塑膠工業","1991/07/12","https://www.cpdc.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1315","達新","Da Xin Materials","上市","塑膠工業","1992/05/09","https://www.tahhsin.com.tw","Rubber Products; Industrial Materials; Rubber Manufacturing; Material Solutions; Industrial Rubber; Material Processing"
"1316","上曜","Shang Yao Materials","上市","建材營造業","1992/10/15","https://www.sunyad.com.tw","Rubber Products; Industrial Materials; Rubber Manufacturing; Material Solutions; Industrial Rubber; Material Processing"
"1319","東陽","TYC Brother Industrial","上市","汽車工業","1994/12/12","https://www.tyg.com.tw","Auto Lamps; Automotive Lighting; Car Accessories; Automotive Parts; Vehicle Lighting; Automotive Components"
"1321","大洋","Da Young","上市","塑膠工業","1999/01/26","https://www.opc.com.tw","塑膠製品; 塑膠原料; 塑膠加工; 工業塑膠"
"1323","永裕","Everest Textile","上市","塑膠工業","2000/09/11","https://www.yonyu.com.tw","塑膠製品; 塑膠原料; 塑膠加工; 工業塑膠"
"1324","地球","地球 Co., Ltd.","上市","塑膠工業","2000/09/11","https://www.globetape.com","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1325","恆大","Heng Da Plastic","上市","塑膠工業","2000/09/11","https://www.uk.com.tw","塑膠製品; 塑膠原料; 塑膠加工; 工業塑膠"
"1326","台化","Formosa Chemicals & Fibre","上市","塑膠工業","1984/12/20","https://www.fcfc.com.tw","Polyester Products; Nylon Products; Acrylic Fibers; Chemical Products; Plastic Raw Materials; Industrial Materials"
"1336","台翰","台翰 Co., Ltd.","上櫃","電子零組件業","2007/11/02","https://www.thpt.com.tw","電子零組件; 連接器; 電子元件; 精密零件; 電子配件; 組裝加工"
"1337","再生-KY","Zai Sheng-KY","上市","塑膠工業","2011/07/01","https://asia-recycle.com","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1338","廣華-KY","Guang Hua-KY","上市","汽車工業","2012/12/19","https://www.hirosawa.com.cn","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1339","昭輝","Zhao Hui","上市","汽車工業","2012/04/24","https://www.yccco.com.tw","Chemical Products; Industrial Chemicals; Chemical Manufacturing; Chemical Solutions; Specialty Chemicals; Chemical Materials"
"1340","勝悅-KY","Sheng Yue-KY","上市","塑膠工業","2013/12/06","https://www.vnm.com.tw","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1341","富林-KY","Fu Lin-KY","上市","塑膠工業","2018/12/24","https://www.fulinvn.com","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1342","八貫","Ba Guan Enterprise","上市","其他業","2020/11/24","https://www.cathayconsolidated.com","Industrial Products; Manufacturing Services; Industrial Solutions; Component Supply; Material Distribution; Industrial Services"
"1402","遠東新","Far Eastern New Century","上市","紡織纖維","1967/04/14","https://www.fenc.com","Polyester Products; Textile Materials; Chemical Products; Recycled Polyester; Industrial Materials; Green Products"
"1409","新纖","新纖 Co., Ltd.","上市","紡織纖維","1973/08/31","https://www.shinkong.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1410","南染","Nan Ran Textile","上市","紡織纖維","1973/10/18","https://www.nydf.com.tw","Textile Products; Dyeing Services; Fabrics; Textile Processing; Textile Materials; Industrial Textiles"
"1413","宏洲","Hong Zhou Textile","上市","紡織纖維","1975/12/23","https://www.hungchou.com.tw","Textile Products; Fabrics; Textile Manufacturing; Fiber Products; Textile Materials; Textile Solutions"
"1414","東和","Tong Ho Textile","上市","紡織纖維","1976/02/02","https://www.tungho.com.tw","Textile Products; Fabrics; Textile Manufacturing; Fiber Products; Textile Materials; Textile Solutions"
"1416","廣豐","Guang Feng Enterprise","上市","其他業","1976/04/20","https://www.kfic.com.tw","Industrial Products; Manufacturing Services; Industrial Solutions; Component Supply; Material Distribution; Industrial Services"
"1417","嘉裕","嘉裕 Co., Ltd.","上市","紡織纖維","1976/12/28","https://www.carnival.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1418","東華","Tong Hwa Synthetic Fiber","上市","紡織纖維","1977/02/14","https://thfin.myweb.hinet.net","Synthetic Fibers; Textile Products; Fiber Manufacturing; Textile Materials; Polyester Products; Textile Solutions"
"1419","新紡","Shin Foong Textile","上市","紡織纖維","1977/03/14","https://www.sktextile.com.tw","Polyester Fabrics; Nylon Fabrics; Functional Textiles; Sportswear Materials; Industrial Textiles; Specialty Fibers"
"1423","利華","Li Hua Industrial","上市","紡織纖維","1979/04/02","https://www.reward.com.tw","紡織品; 成衣; 布料; 紡織原料; 服飾"
"1432","大魯閣","大魯閣 Co., Ltd.","上市","運動休閒","1982/07/26","https://www.taroko.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1434","福懋","福懋 Co., Ltd.","上市","紡織纖維","1985/12/24","https://www.ftc.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1435","中福","中福 Co., Ltd.","上市","其他業","1987/12/28","https://www.chungfutex.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1436","華友聯","Hua Yu Lien Development","上市","建材營造業","1988/04/11","https://www.huakai.com.tw","Real Estate Development; Housing Development; Building Development; Industrial Plant Development; Property Leasing; Real Estate Business; Construction Engineering; Property Management"
"1437","勤益控","Chin Yi","上市","其他業","1988/11/10","https://www.gtm.com.tw","投資; 資產管理; 金融服務"
"1438","三地開發","San Di Development","上市","建材營造業","1988/12/15","https://www.sandirealestate.com.tw","Real Estate Development; Property Development; Construction Services; Real Estate Investment; Property Management; Real Estate Solutions"
"1439","雋揚","Chun Yang","上市","建材營造業","1989/05/22","https://www.ascentglobal.com.tw","建材; 營造; 工程"
"1440","南紡","Tainan Spinning (San Fang)","上市","紡織纖維","1989/10/03","https://www.tainanspin.com.tw","Cotton Yarn; Polyester Cotton; Polyester Granules; Polyester Filaments; Finished Polyester Filaments; Ester Granules for Bottles; Textile Products; Spinning Products"
"1441","大東","大東 Co., Ltd.","上市","紡織纖維","1989/10/27","https://www.tahtong.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1442","名軒","Ming Xuan Construction","上市","建材營造業","1989/11/16","https://www.advancetek.com.tw","Construction Services; Real Estate Development; Building Projects; Construction Management; Property Development; Engineering Services"
"1443","立益物流","Li Yi Wu Liu Logistics","上市","其他業","1990/04/21","https://www.lily.com.tw","Logistics Services; Transportation; Warehousing; Supply Chain; Distribution Services; Logistics Solutions"
"1444","力麗","Lealea Enterprise","上市","紡織纖維","1990/08/08","https://www.lealeagroup.com.tw/libolon-detail/LEALEAENTERPRISECOLTD/","Textile Products; Fabrics; Yarns; Polyester Fibers; Functional Textiles; Industrial Textiles"
"1445","大宇","Da Yu","上市","紡織纖維","1991/02/05","https://www.universal-tex.com","紡織品; 布料; 成衣"
"1446","宏和","Hong Ho Precision Textile","上市","紡織纖維","1991/10/15","https://www.hongho.com.tw","Finished Fabrics; Home Textile Fabrics; City Wear Fabrics; Sportswear Fabrics; Gray Fabrics; Apparels; Textile Products; Functional Textiles"
"1447","力鵬","力鵬 Co., Ltd.","上市","紡織纖維","1992/01/28","https://www.lealeagroup.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1449","佳和","佳和 Co., Ltd.","上市","紡織纖維","1992/03/12","https://www.chgtex.com","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1451","年興","年興 Co., Ltd.","上市","紡織纖維","1992/12/21","https://www.nhjeans.com","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1452","宏益","宏益 Co., Ltd.","上市","紡織纖維","1992/12/28","https://www.hongyilon.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1453","大將","大將 Co., Ltd.","上市","建材營造業","1993/04/19","https://www.tajiang.com.tw","建築工程; 營造工程; 建材製造; 建設開發; 工程管理; 營建服務"
"1454","台富","Tai Fu","上市","紡織纖維","1993/05/07","https://www.ttfco.com","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1455","集盛","集盛 Co., Ltd.","上市","紡織纖維","1993/10/07","https://www.zigsheng.com","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1456","怡華","Yi Hua Construction","上市","建材營造業","1993/12/09","https://www.ihwa.com.tw","Construction Services; Building Materials; Construction Management; Engineering Services; Building Projects; Construction Solutions"
"1457","宜進","E-Jen Industrial","上市","紡織纖維","1994/10/20","https://www.yijinn.com.tw","Functional Textiles; Outdoor Fabrics; Sportswear Fabrics; Technical Textiles; Waterproof Fabrics; Breathable Materials"
"1459","聯發","Lian Fa Textile","上市","紡織纖維","1994/10/26","https://www.lanfa.com.tw","Textile Products; Fabrics; Yarns; Textile Materials; Functional Textiles; Industrial Textiles"
"1460","宏遠","Ever Fortune Group","上市","紡織纖維","1995/04/28","https://www.everest.com.tw","紡織品; 布料; 成衣; 紡織製造; 織布; 紡織加工"
"1463","強盛新","Qiang Sheng Xin Textile","上市","紡織纖維","1996/12/05","https://www.csgroup.com.tw","Textile Products; Fabrics; Textile Manufacturing; Fiber Products; Textile Materials; Textile Solutions"
"1464","得力","De Li Textile","上市","紡織纖維","1997/01/18","https://www.delicacy.com.tw","Textile Products; Fabrics; Yarns; Textile Materials; Functional Textiles; Industrial Textiles"
"1465","偉全","Wisher Industrial","上市","紡織纖維","1997/09/08","https://www.wisher.com.tw","Smart Fabrics; Dynamic Cold Protection Fabric; Dynamic Heat Protection Fabric; Nano Heating Fabric; BreaXtile Fabric; Functional Textiles; Technical Fabrics; Performance Fabrics"
"1466","聚隆","Ju Long Chemical","上市","紡織纖維","1998/04/04","https://www.acelon-yarn.com","Textile Products; Chemical Fibers; Polyester Products; Textile Materials; Synthetic Fibers; Industrial Textiles"
"1467","南緯","Nan Wei Textile","上市","紡織纖維","1998/12/21","https://www.texray.com","Textile Products; Fabrics; Yarns; Textile Materials; Functional Textiles; Industrial Textiles"
"1468","昶和","Chang He Textile","上市","紡織纖維","1999/01/21","https://www.chang-ho.com.tw","Textile Products; Fabrics; Yarns; Textile Materials; Functional Textiles; Industrial Textiles"
"1470","大統新創","Da Tong Xin Chuang","上市","紡織纖維","1999/05/21","https://www.evertex.tw","Food Products; Food Manufacturing; Processed Foods; Food Distribution; Food Solutions; Consumer Foods"
"1471","首利","Shou Li","上市","電子零組件業","2000/03/06","https://www.soly-tech.com","電子零組件; PCB; 電路板"
"1472","三洋實業","San Yang Industry","上市","建材營造業","2000/09/11","https://triocean.com.tw","Construction Materials; Building Products; Construction Services; Material Supply; Construction Solutions; Building Services"
"1473","台南","台南 Co., Ltd.","上市","紡織纖維","2000/09/11","https://www.tai-nan.com/en","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1474","弘裕","Hong Yu Textile","上市","紡織纖維","2000/10/31","https://www.textile-hy.com.tw","Textile Products; Fabrics; Yarns; Textile Materials; Functional Textiles; Industrial Textiles"
"1475","業旺","Ye Wang Textile","上市","紡織纖維","2000/10/27","https://www.big-sunshine.com.tw","Textile Products; Fabrics; Yarns; Textile Materials; Functional Textiles; Industrial Textiles"
"1476","儒鴻","Eclat Textile (Ru Hong)","上市","紡織纖維","2001/04/18","https://www.eclat.com.tw","Textile Products; Fabrics; Textile Manufacturing; Fiber Products; Textile Materials; Textile Solutions"
"1477","聚陽","聚陽 Co., Ltd.","上市","紡織纖維","2003/01/21","https://www.makalot.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1503","士電","Shihlin Electric","上市","電機機械","1969/12/15","https://www.seec.com.tw","Circuit Breakers; AC Drives; Servo Motors; PLCs; Power Distribution Systems; Industrial Automation"
"1504","東元","Tong Yang Industry","上市","電機機械","1973/11/05","https://www.teco.com.tw","Cement Products; Ready-Mix Concrete; Building Materials; Precast Concrete; Construction Materials; Specialty Cement"
"1506","正道","正道 Co., Ltd.","上市","電機機械","1980/08/11","https://www.rightway.com.tw","電機設備; 機械設備; 工業機械; 電機產品; 機械零件; 電機系統"
"1512","瑞利","Rui Li Automotive","上市","汽車工業","1994/01/28","https://www.juili.com.tw","Auto Parts; Automotive Components; Car Accessories; Automotive Products; Vehicle Parts; Automotive Solutions"
"1513","中興電","Chung Hsing Electric & Machinery","上市","電機機械","1994/03/08","https://www.chem.com.tw","Electrical Equipment; Power Systems; Transformers; Electrical Machinery; Power Distribution; Electrical Solutions"
"1514","亞力","Ya Li Machinery","上市","電機機械","1994/03/26","https://www.allis.com.tw","Machinery Equipment; Industrial Machinery; Manufacturing Equipment; Mechanical Systems; Machinery Solutions; Industrial Equipment"
"1515","力山","Rexon Industrial","上市","電機機械","1995/02/04","https://www.rexon.net","電動工具; 木工機械; 工具機; DIY工具; 工業機械"
"1516","川飛","Chuan Fei","上市","其他業","1995/04/01","https://www.falconpower.tw","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1517","利奇","Li Qi Machinery","上市","電機機械","1995/11/14","https://www.leechi.com.tw","Machinery Equipment; Industrial Machinery; Machine Tools; Machinery Systems; Manufacturing Equipment; Machinery Solutions"
"1519","華城","Hua Cheng Electric","上市","電機機械","1997/04/16","https://www.fortune.com.tw","Electrical Equipment; Power Systems; Transformers; Electrical Engineering; Power Distribution; Electrical Solutions"
"1521","大億","大億 Co., Ltd.","上市","汽車工業","1997/10/06","https://www.tayih-ind.com.tw","汽車零件; 汽車配件; 車用電子; 汽車內裝; 汽車外裝; 汽車系統"
"1522","堤維西","堤維西 Co., Ltd.","上市","汽車工業","1997/10/06","https://www.tyc.com.tw","汽車零件; 汽車配件; 車用電子; 汽車內裝; 汽車外裝; 汽車系統"
"1524","耿鼎","Geng Ding Machinery","上市","汽車工業","1998/10/30","https://www.gordon.com.tw/index_en.html","Machinery Equipment; Industrial Machinery; Manufacturing Equipment; Mechanical Systems; Machinery Solutions; Industrial Equipment"
"1525","江申","Jiang Shen","上市","汽車工業","1999/05/15","https://www.kian-shen.com","汽車零組件; 汽車配件; 機械零件"
"1526","日馳","Ri Chi","上市","電機機械","2000/03/27","https://www.sunrace.com","電機設備; 馬達; 電動機"
"1527","鑽全","鑽全 Co., Ltd.","上市","電機機械","2000/06/21","https://www.basso.com.tw","電機設備; 機械設備; 工業機械; 電機產品; 機械零件; 電機系統"
"1528","恩德","Ende","上市","電機機械","2000/09/11","https://www.anderson.com.tw","特殊化學品; 化工產品; 工業化學; 化學原料"
"1529","樂事綠能","Le Shi Lv Neng Green Energy","上市","電機機械","2000/09/11","https://www.luxe.com.tw","Green Energy; Renewable Energy; Energy Solutions; Solar Energy; Energy Systems; Sustainable Energy"
"1530","亞崴","Awea (Ya Wei)","上市","電機機械","2000/09/11","https://www.awea.com","Machine Tools; CNC Machines; Manufacturing Equipment; Machinery Solutions; Industrial Machinery; Machine Tool Systems"
"1531","高林股","Kao Lin","上市","電機機械","2000/09/11","https://www.siruba.com","電機設備; 電力設備; 工業機械; 機電產品"
"1532","勤美","ChinPaoSan Group","上市","電機機械","2000/09/11","https://www.cmp.com.tw","Memorial Park Services; Cemetery Services; Funeral Services; Real Estate Development; Art Collection; Sculpture Park; Tourism Services; Memorial Facilities"
"1533","車王電","Che Wang Dian Electronics","上市","汽車工業","2001/04/06","https://www.mobiletron.com","Automotive Electronics; Auto Components; Automotive Systems; Vehicle Electronics; Automotive Solutions; Auto Manufacturing"
"1535","中宇","Zhong Yu","上市","電機機械","2001/09/17","https://www.ecotek.com.tw","Industrial Products; Manufacturing; Industrial Solutions; Industrial Equipment; Manufacturing Systems; Industrial Services"
"1536","和大","Hota Industrial","上市","汽車工業","2001/09/17","https://www.hota.com.tw","汽車零組件; 傳動系統; 齒輪"
"1537","廣隆","","上市","電機機械","2002/01/22","https://www.klb.com.tw","專業電池製造商,主要產品為密閉式鉛酸蓄電池,應用於UPS不斷電系統、電動車輛、太陽能儲能系統及各類備用電源設備。"
"1538","正峰","Zheng Feng Machinery","上市","電機機械","2002/08/26","https://www.jennfeng.com","Machinery Equipment; Industrial Machinery; Machine Tools; Machinery Systems; Manufacturing Equipment; Machinery Solutions"
"1539","巨庭","Ju Ting Machinery","上市","電機機械","2002/10/29","https://www.geetech.com.tw","Machinery Equipment; Industrial Machinery; Machine Tools; Machinery Systems; Manufacturing Equipment; Machinery Solutions"
"1540","喬福","Qiao Fu Machinery","上市","電機機械","2002/08/26","https://www.johnford.com.tw","Machinery Equipment; Industrial Machinery; Manufacturing Equipment; Mechanical Systems; Machinery Solutions; Industrial Equipment"
"1541","錩泰","Chun Tai","上市","電機機械","2003/03/19","https://www.toty.com.tw","Steel Products; Metal Materials; Steel Processing; Metal Trading; Steel Distribution; Industrial Materials; Metal Solutions; Steel Services"
"1558","伸興","Shin Hsing","上市","電機機械","2014/12/23","https://www.zenghsing.com.tw","工業用縫紉機; 縫紉機零件; 機械設備; 縫紉機配件; 工業機械; 縫紉設備"
"1560","中砂","China Steel Machinery","上市","電機機械","2005/01/31","https://www.kinik.com.tw","研磨設備; 精密機械; 工業機械; 機械零件"
"1563","巧新","","上市","汽車工業","2024/05/13","https://www.superalloy.tw","專業鋁合金鍛造輪圈製造商,主要產品為高性能汽車鋁合金輪圈,供應全球知名汽車品牌及售後改裝市場,具備輕量化及高強度特性。"
"1565","精華","","上櫃","生技醫療業","2004/03/30","https://www.stshine.com.tw","專業生技製藥公司,主要從事學名藥及原料藥生產,產品包括抗生素、心血管藥物及慢性病用藥,並提供藥品代工服務。"
"1568","倉佑","Cang You Automotive","上市","汽車工業","2014/05/14","https://www.tsangyow.com.tw","Auto Parts; Automotive Components; Car Accessories; Automotive Products; Vehicle Parts; Automotive Solutions"
"1569","濱川","Bin Chuan Steel","上櫃","電腦及週邊設備業","2005/07/29","https://www.hamagawa.com.tw","Steel Products; Steel Processing; Metal Products; Steel Distribution; Industrial Steel; Steel Materials"
"1570","力肯","Liken","上櫃","電機機械","2005/06/30","https://www.depoan.com","特殊鋼材; 鋼鐵製品; 金屬材料; 鋼材加工"
"1580","新麥","Sinmag","上櫃","電機機械","2007/12/10","https://www.sinmag.com.tw","烘焙設備; 食品機械; 烤箱; 攪拌機; 發酵箱; 烘焙機械"
"1582","信錦","Shin Jin","上市","電子零組件業","2009/12/17","https://www.syncmold.com.tw","電子零組件; PCB; 電路板"
